Albert Einstein	Wàll:Jëmm;
Royuwaay:Jëfandikukat id-3	:Jëfandikukat id|bahasa Indonesia;:Jëfandikukat id-3|mahir;
Royuwaay:Jëfandikukat el-1	:Jëfandikukat el-1|βασικού;:Jëfandikukat el|ελληνικά;
Royuwaay:Jëfandikukat io-3	:Jëfandikukat io-3|alta;:Jëfandikukat io|Ido;
Royuwaay:Jëfandikukat ia-2	:Jëfandikukat ia-2|intermedie;:Jëfandikukat ia|interlingua;
Royuwaay:Jëfandikukat et-1	:Jëfandikukat et|eesti keeles;:Jëfandikukat et-1|algaja;
Royuwaay:Jëfandikukat lb-1	:Jëfandikukat lb-1|mat Grondkenntnisser;:Jëfandikukat lb|Lëtzebuerger Sprooch;
Royuwaay:Jëfandikukat hi-1	:Jëfandikukat hi|हिन्दी;:Jëfandikukat hi-1|प्रारंभिक;
Royuwaay:Jëfandikukat ar-1	:Jëfandikukat ar-1|مبادئ;:Jëfandikukat ar|&#1575;&#1604;&#1593;&#1585;&#1576;&#1610;&#1577;;
Royuwaay:Jëfandikukat ka-1	:Jëfandikukat ka|ქართული ენის;:Jëfandikukat ka-1|ელემენტარულ;
Royuwaay:Jëfandikukat vo-1	:Jëfandikukat vo-1|bapiko;:Jëfandikukat vo|Volapüki;
Royuwaay:Jëfandikukat yi-2	:Jëfandikukat yi-2|&#1520;&#64287;&#1496;&#1492;&#1488;&#1463;&#1500;&#1496;&#1506;&#1512;;:Jëfandikukat yi|&#1497;&#1497;&#1460;&#1491;&#1497;&#1513;;
Goxub Dottub Bëj-gànnaar	Wàll:Gox yi;Wàll:Diiwaani dott;
Royuwaay:Réewi tugal	Wàll:Royuwaay séwógaraafi mu réew;
Séddaliinu yoriinu Senegaal	Wàll:dogiinu Senegaal;
Aw xët ci wàll gii	Wàll:Diiwaani Senegaal|*;
Louvre	Wàll:Faraas;
Daara yu diggu	Wàll:yar;Wàll:baati wolof;
Cig jonjoodi	Wàll:Jokkoo;
Dóox	Wàll:Taariix;
Ndefar gu barab gi	Wàll:Endustri;
Nosteg galag	Wàll:Koom-koom;
Bennoo gu Almaañ	Wàll:Taariixu Tugal;
Baatukaay	Wàll:Làkk;Wàll:Njàngale;
Royuwaay:Km²	Wàll:Royuwaay séwógaraafi;
Sompat	Wàll:Jén;
1 Korent	Wàll:Leeral Biibël;
2 Piyeer	Wàll:Leeral Biibël;
Royuwaay:Km2	Wàll:Royuwaay séwógaraafi;
Tundi Senegaal	Wàll:tundi Senegaal;
Royuwaay:Tundi senegaal	Wàll:Royuwaay séwógaraafi;
Diiwaani Senegaal	Wàll:diiwaani Senegaal;
Ndiiwaani Senegaal	Wàll:Ndiiwaani Senegaal;
Aakimoo jawwu ji	Wàll:Aakimoo jawwu ji;
Jeqiku gi xam-xam amal ci Elektron	Wàll:Jëmm;Wàll:Jëmm;
Fepp	Wàll:Jëmm;
Bijjaakon	Wàll:Jëmm;
As yaram	Wàll:Jëmm;
Njabootug lepton	Wàll:Jëmm;
Lepton	Wàll:Jëmm;
Nukleon	Wàll:Jëmm;
Limub njiiti Senegaal yil	Wàll:njiiti Senegaal;
Dëkkaani ndiiwaani Senegaal	Wàll:Dëkkaani ndiiwaani Senegaal;
Yolet	Wàll:Melo;
Ñent	Wàll:Xayma;
Royuwaay:Oppose	Wàll:Royuwaay|Oppose;
Wikipedia:Yorkat	Wàll:Barab Wikipedia|{{PAGENAME}};
Royuwaay:Coord	Wàll:Royuwaay Coord| ;
Royuwaay:Coord/display/inline	Wàll:Royuwaay Coord|display/inline;
Royuwaay:Coord/input/dms	Wàll:Royuwaay Coord|input/dms;
Royuwaay:Coord/input/dec	Wàll:Royuwaay Coord|input/dec;
Royuwaay:Coord/dec2dms	Wàll:Royuwaay Coord|dec2dms;
Royuwaay:Coord/prec dec	Wàll:Royuwaay Coord|prec dec;
Royuwaay:Coord/link	Wàll:Royuwaay Coord|link;
Royuwaay:Coord/dec2dms/dms	Wàll:Royuwaay Coord|dec2dms/dms;
Royuwaay:Coord/dec2dms/d	Wàll:Royuwaay Coord|dec2dms/d;
Royuwaay:Coord/dec2dms/d1	Wàll:Royuwaay Coord|dec2dms/d1;
Royuwaay:Coord/dec2dms/dm	Wàll:Royuwaay Coord|dec2dms/dm;
Royuwaay:Coord/dec2dms/dm1	Wàll:Royuwaay Coord|dec2dms/dm1;
Royuwaay:Coord/dec2dms/dms1	Wàll:Royuwaay Coord|dec2dms/dms1;
Royuwaay:Coord/display/inline,title	Wàll:Royuwaay Coord|display/inline,title;
Royuwaay:Coord/dms2dec	Wàll:Royuwaay Coord|dms2dec;
Royuwaay:Coord/input/d	Wàll:Royuwaay Coord|input/d;
Royuwaay:Coord/input/dm	Wàll:Royuwaay Coord|input/dm;
Royuwaay:Coord/input/dms long	Wàll:Royuwaay Coord|input/dms long;
Royuwaay:Coord/display/title	Wàll:Royuwaay Coord|display/title;
Royuwaay:Coord/input/dm long	Wàll:Royuwaay Coord|input/dm long;
Royuwaay:Coord/input/ERROR	Wàll:Royuwaay Coord|input/error;
Royuwaay:Coord/URL	Wàll:Royuwaay Coord|URL;
Oiapoque	Wàll:Breesil;
Toulouse	Wàll:Faraas;
Lourdes	Wàll:Faraas;
Yoonu murit	Wàll:yoonu murit;
Sëriñ Abdul Ahad Mbàkke	Wàll:Niti senegaal;Wàll:Yoonu murit;
Sëriñ Muhammadu Faliilu Mbàkke	Wàll:Niti senegaal;Wàll:Yoonu murit;
Muhammadu Mustafaa Mbàkke	Wàll:Niti senegaal;Wàll:Yoonu murit;
Sëriñ Abdu Xaadir Mbàkke	Wàll:Niti senegaal;Wàll:Yoonu murit;
Baay Faal	Wàll:Yoonu murit;
Seex Ibraayma Faal	Wàll:yoonu murit;Wàll:niti senegaal;
Xelkoom	Wàll:dëkk-dëkkaani Senegaal;Wàll:yoonu murit;
Beeco Cuun	Wàll:yoonu murit;Wàll:niti senegaal;
Seex Muhammadu Murtalaa Mbàkke	Wàll:Niti senegaal;Wàll:Yoonu murit;
Royan	Wàll:Faraas;
Sëriñ Suhaybu Mbàkke	Wàll:Niti senegaal;Wàll:Yoonu murit;
Sëriñ Basiiru Mbàkke	Wàll:Niti senegaal;Wàll:Yoonu murit;
Abdulaay Wàdd	Wàll:niti senegaal;Wàll:Njiiti Senegaal;
Sëñ Masàmba	Wàll:Niti senegaal;Wàll:Yoonu murit;
Xarey àdduna	Wàll:xarey àdduna;
Lislaam	Wàll:Lislaam;Wàll:Yoonu murit;
Kiswahili	Wàll:Làkki Niseer-Cóngoo;Wàll:Làkki Afrig;
Wikipedia:Bot	:Wàll:Global bot;:Wàll:Global bot|Catégorie:bot global;:Wàll:Global bot|global bot;:Wàll:Réew;:Wàll:Réew;Wàll:Barab Wikipedia;Wàll:Bot Wikipedia| ;
Royuwaay:It	Wàll:Royuwaay;
Campora San Giovanni	Wàll:Itaali;
Weeri wolof	Wàll:Lislaam;Wàll:Arminaat;Wàll:Weeri wolof;
Réewi lebu yi	Wàll:Taariixu senegaal;Wàll:nguuri senegaal;
Kumba Ndóofeen Famak Juuf	Wàll:Taariixu senegaal;Wàll:Niti senegaal;Wàll:Niti Gàmbi;Wàll:Cosaan;Wàll:Séeréer;Wàll:Cosaan Séeréer;
Mandinke	Wàll:Taariixu senegaal;
Ceddo	Wàll:Taariixu senegaal;Wàll:Taariixu Gàmbi;Wàll:Cosaan Séeréer;Wàll:Cosaan;
Màbba Jaxu Ba	Wàll:Taariixu senegaal;Wàll:Niti senegaal;Wàll:Niti Gàmbi;Wàll:Cosaan;
Tekuruur	Wàll:Taariixu senegaal;Wàll:Cosaan Séeréer;
Sooninke	Wàll:taariixu senegaal;
Séeréer	Wàll:Taariixu senegaal;Wàll:Làkki senegaal;Wàll:Niti senegaal;[[Wàll:Waasoy Senegaal;
Wolof (askan)	Wàll:waasoy Senegaal;
Pël	Wàll:waasoy senegaal;Wàll:Làkki Senegaal;
Tukkloor	Wàll:waasoy Senegaal;Wàll:Taariixu senegaal;
Joolaa (askan)	Wàll:Waasoy Senegaal;
Royuwaay:Es	Wàll:Royuwaay;
Royuwaay:De	Wàll:Royuwaay;
Đồng Hới	Wàll:Wiyetnaam;
Namandiru	Wàll:Senegaal;
World Wide Web	Wàll:Xam-xamu nosukaay;
Royuwaay:Jëfandikukat pl-1	:Wàll:Jëfandikukat pl|językiem polskim;:Wàll:Jëfandikukat pl-1|podstawowym;
Royuwaay:Bataaxalu dalal-jàmm	Wàll:Royuwaay;
Ndimbal ci ay nataal	Wàll:Ndimbal;
Réewum ñaari dex yi	Wàll:Taariix;Wàll:Iraak;
Buyumbura	Wàll:Buruundi;Wàll:Péy;
Praia	Wàll:Péy;Wàll:Kap Weer;
Nuwaaksot	Wàll:Gànnaar;Wàll:Péy;
Amman	Wàll:Péy;Wàll:Jordaani;
Bagdad	Wàll:Iraak;Wàll:Péy;
Turu Way-Dëkk	Wàll:Réew;
Njëkk-xaymà	Wàll:Réew;
Koppar	Wàll:Koom-koom;
Yaatuwaay	Wàll:Melosuuf;
Moroni	Wàll:Péy;Wàll:Komoor;
Way-dëkk	Wàll:Melosuuf;
Nasaraan	Wàll:Diine;
Tembte	Wàll:Politig;Wàll:Taariix;
Dencukaay	Wàll:Xam-xamu nosukaay;
Royuwaay:Infobox Réew	:Wàll:Péy|Péy;Wàll:Infobox;
Gaynde	Wàll:Rab;
Looy	Wàll:Rab;
Tene	Wàll:Rab;
Nguri	Wàll:Gunóor;
Suraas	Wàll:Melo;
Royuwaay:Xóotal	Wàll:Royuwaay;
Wure	Wàll:Fo;
Esaas	Wàll:Simi;Wàll:Kàttan;
Téeméer	Wàll:Xayma;
Junni	Wàll:Xayma;
Kër	Wàll:Kër;
Paaka	Wàll:Suti;Wàll:Waañ;
Waañ	Wàll:Waañ;
Furset	Wàll:Suti;Wàll:Waañ;
Kuddu	Wàll:Suti;Wàll:Waañ;
Aset	Wàll:Suti;Wàll:Waañ;
Mbaam	Wàll:Rab;
Dundat yi	Wàll:Dundat yi;
Iyon-jawwu	Wàll:Suuf;Wàll:Jëmm;
Waxtu	Wàll:Jamono;
At	Wàll:Arminaat;Wàll:Jamono;
Simili	Wàll:Jamono;
Saa	Wàll:Jamono;
Gaal	Wàll:Moto;
Ganaar	Wàll:Rab;
Bët	Wàll:Rab;
Soviet Yi Benno	Wàll:Tugal;Wàll:Asi;
Jimbulang	Wàll:Jimbulang| ;
Tangor	Wàll:Melosuuf;Wàll:Saytubiddiw;
Yay	Wàll:Yay| ;
Saara	Wàll:Yay;Wàll:Melosuufug afrig;
Max	Wàll:Gunóor;
Gunóor	Wàll:Gunóor| ;
Melentaan	Wàll:Gunóor;
Sharles Degóol	Wàll:Faraas;
Wolof	Wàll:Wolof;
Jimbulang bu waa-Brëtaañ	Wàll:Jimbulang;
Samwie	Wàll:Samwie;Wàll:Weeri at mi;
Fewirie	Wàll:Weeri at mi;Wàll:Fewirie;
Maars (weer)	Wàll:Weeri at mi;Wàll:Maars;
Awril	Wàll:Weeri at mi;Wàll:Awril;
Ségg	Wàll:Rab;
Golo	Wàll:Rab;
Ñay	Wàll:Rab;
Nag	Wàll:Rab;
Dàngin	Wàll:Rab;
Jinax	Wàll:rab;
Mee	Wàll:Weeri at mi;Wàll:Mee;
Suwe	Wàll:Weeri at mi;Wàll:Suwe;
Sulet	Wàll:Weeri at mi;Wàll:Sulet;
Waxset	Wàll:Weeri at mi;Wàll:Ut;
Royuwaay:Weer	Wàll:Royuwaayu weer|Weer;
Satumbar	Wàll:Weeri at mi;Wàll:Sattumbar;
Oktoobar	Wàll:Weeri at mi;Wàll:Oktoobar;
Nowembar	Wàll:Weeri at mi;Wàll:Nowembar;
Disambar	Wàll:Weeri at mi;Wàll:Disambar;
Royuwaay:Weeriwolof	Wàll:Royuwaayu weer;
Tamxarit	Wàll:weeri wolof;
Diggi-gàmmu	Wàll:weeri wolof;
Gàmmu	Wàll:weeri wolof;
Xareb Àdduna bu Njëkk	Wàll:Xarey àdduna;
Diiney Afrig	Wàll:diine;Wàll:Afrig;
Waxtaani sëriñ tuubaa	Wàll:Yoonu murit;
Royuwaay:Mbàmbulaan	Wàll:royuwaayu melosuuf|mbàmbulaan;
Sëriñ Maalig Basin Si	Wàll:Niti senegaal;Wàll:Yoonu murit;
Waxi Sëriñ Maalig Basin Si	Wàll:Senegaal;Wàll:Yoonu murit;
Rakki-gàmmu	Wàll:weeri wolof;
Rakkaati-gàmmu	Wàll:weeri wolof;
Maami-koor	Wàll:weeri wolof;
Ndeyi-koor	Wàll:weeri wolof;
Baraxlu	Wàll:weeri wolof;
Kori	Wàll:weeri wolof;
Diggi-tabaski	Wàll:weeri wolof;
Tabaski	Wàll:Weeri wolof;
Njëkk-taariix	Wàll:Njëkk-taariix;
Waxi Seex Anta ci lu aju ci cosaanul nit	Wàll:Taariix;
Ecser	Wàll:Oonguri;
Fànn	Wàll:Fànn;
Besançon	Wàll:Faraas;
Nosteg doxiin	Wàll:Xam-xamu nosukaay;
Royuwaay:Latn	Wàll:Royuwaay|Latn;
Wikbaatukaay	Wàll:Baatukaay;Wàll:Sémbi Wikimedia Fondation;
Tëriinuw nosukaay	Wàll:Xam-xamu nosukaay;
PHP	Wàll:Xam-xamu nosukaay;
HTML	Wàll:Xam-xamu nosukaay;
ASP.NET	Wàll:Xam-xamu nosukaay;
Royuwaay:BUR	Wàll:royuwaay raaya réew|Buruundi;
Royuwaay:KOM	Wàll:royuwaay raaya réew;
Royuwaay:MLW	Wàll:royuwaay raaya réew|Malawi;
Royuwaay:MOR	Wàll:royuwaay raaya réew|Móoris;
Royuwaay:MYT	Wàll:royuwaay raaya réew|Mayot;
Royuwaay:CAD	Wàll:royuwaay raaya réew|Cadd;
Bujumbura	Wàll:Buruundi;
Jibuti (dëkk)	Wàll:Jibuti;
Asmara	Wàll:eritere;
Addis-Abeba	Wàll:Ecoopi;
Nairobi	Wàll:Keeñaa;
Kampala	Wàll:Ugandaa;
Antananariwo	Wàll:Madagaskaar;
Lilongwe	Wàll:Malawi;
Mamudsu	Wàll:Mayot;
Maputo	Wàll:Mosambik;
Kigali	Wàll:Ruwandaa;
Wiktoria (Seysel)	Wàll:Seysel;
Mogadisu	Wàll:Somali;
Dodoma	Wàll:Tansani;
Tus-wu-taxaw	Wàll:Melosuuf;
Lusaka	Wàll:Saambi;
Arare	Wàll:Simbaawee;
Luanda	Wàll:Angolaa;
Yaunde	Wàll:Kamerun;
Bangi	Wàll:Réewum Diggu Afrig;
Njamena	Wàll:Cadd;
Brasawil	Wàll:Kongóo;
Kinshasa	Wàll:Kongóo-Kinshasa;
Malabo	Wàll:Gineg yamoo;
Libarwil	Wàll:Gaboŋ;
Sao Tome (dun)	Wàll:Sao Tome ak Principe;
Alse	Wàll:Alseeri;
Xayra	Wàll:Isipt;
Tripoli (Libi)	Wàll:Libi;Wàll:Péeyi afrig;
Rabat	Wàll:Marok;
Planoise	Wàll:Faraas;
Xartum	Wàll:Sudaan;
Tunis	Wàll:Tiniisi;
Royuwaay:CcTLD	Wàll:barab bu tolluwaay bu njëkk;
.ac	Wàll:Barab bu tolluwaay bu njëkk;
Duni Kanaari	Wàll:Kanaari;
Las Palmasu Kanaari gu Mag	Wàll:Kanaari;
Niccolò Machiavelli	Wàll:Njàngat;Wàll:Politig;Wàll:Itaali;
Muurum Koor	Wàll:lislamm;
Niels Bohr	Wàll:Jëmm;
Charles Darwin	Wàll:Dundat yi;
Haj	Wàll:Ponki Lislaam;
Bisub Tabaski	Wàll:Lislaam;
Royuwaay:Jëfandikukat io-1	:Jëfandikukat io-1|basa;:Jëfandikukat io|Ido;
Bundesliga	Wàll:Football;Wàll:Almaañ;
Dawaan bu wéy	Wàll:Dawaanu mbëj;
Dawaan bu safaanu	Wàll:Dawaanu mbëj;
Dawaanu mbëj	Wàll:Dawaanu mbëj;Wàll:Xaralaymbëj;
Soppalikaay	Wàll:Xaralaymbëj;
Royuwaay:Far	Wàll:Far;Wàll:Royuwaay;
Xët wu njëkk	Wàll:Xët wu njëkk;
Kàttanug mbëj	Wàll:Kàttan;
Daanaka-dun	Wàll:Melosuuf;
Toolu mbëj	Wàll:Mbëj;
Mbëjfepp	Wàll:Jëmmu saal;
Màggalug Tuubaa	Wàll:Yoonu murit;
Bisu Tamxarit	Wàll:diine;Wàll:Lislaam;
Feppsaal	Wàll:Jëmmu saal;
Feppmaandu	Wàll:Jëmmu saal;
Xarefulwoon	Wàll-wàllaan wu njëlbeen|ronxarefulwoon;Wàll:Jëmmu saal;
Toolu bijjaakon	Wàll:Bijjaakon;
Toolu mbëjbijjaakon	Wàll:Mbëjbijjaakon;
Yanu mbëj	Wàll:Mbëj;
Ndëgërlu gu mbëj	Wàll:Mbëj;
Dëgërluwiin	Wàll:Mbëj;
Wommatiinu mbëj	Wàll:mbëj;
Wommat wu mbëj	Wàll:mbëj;
Dëgërlukaay	Wàll:Mbëj;
Jurukaayu mbëj	Wàll:Xaralaymbëj;
Dendu mbëj	Wàll:Xaralaymbëj;
Safaanukaay	Wàll:Wuutuloxo yu mbëj;
Doxalukaay bu demandoodi	Wàll:wuutuloxo yu mbëj;
Raaya wu Senegaal	Wàll:Afrig;Wàll:Réew;Wàll:Senegaal;Wàll:Raaya;
Dereet	Wàll:jëmm;Wàll:yaram;
Jullit	Wàll:Diine;Wàll:Lislaam;
Cosug àdduna bi ak Big Bang	Wàll:taariix;Wàll:Lislaam;
Doxalukaay bu demandoo	Wàll:wuutuloxo yu mbëj;
Qin Shi Huang	Wàll:Taariix;Wàll:Siin;
Soxna Jaara BUSO	Wàll:Lislaam;Wàll:Yoonu murit;
Mbëjbijjaan	Wàll:Xaralaymbëj;
Bijjaan	Wàll:Mbëjbijjaakon;
Wuutuloxo bu mbëj	Wàll:xaralaymbëj;
Xiirtalu	Wàll:mbëj;
Xiirtalukaay	Wàll:mbëj;
Baraay	Wàll:Kemi jëmm;
Xiirtalug mbëjbijjaakon	Wàll:mbëjbijjaakon;
Ho Chi Minh City	Wàll:Wiyetnaam;
Ndombo gu mbëj	Wàll:Mbëj;
Royuwaay:Jëfandikukat ca	:Wàll:Jëfandikukat en|català;:Wàll:Jëfandikukat ca-N|primera llengua;Wàll:Boyutu Babel N|ca;Wàll:Jëfandikukat ca|N;
Fattalukaay(mbëj)	Wàll:Mbëj;
Tunduw Ndakaaru	Wàll:tundi Senegaal;
Coronel Fabriciano	Wàll:Breesil;
Al Bayda	Wàll:Lybia;
Xolaxol	Wàll:Picc;
Toq	Wàll:Picc;
Tan	Wàll:Picc;
Ngóora (jëmm)	Wàll:Kemi jëmm;
Liggéey (jëmm)	Wàll:Doolerandu;Wàll:Kemi jëmm;
Kàttanug imbiku	Wàll:kàttan;Wàll:doolerandu;
Mbëjtekkaaral	Wàll:mbëjtekkaaral;
Esperanto	Wàll:Làkk;
Şalom	Wàll:Titre de presse créé en 1947;Wàll:Presse écrite hebdomadaire;Wàll:Presse écrite turque;Wàll:Presse écrite en turc;Wàll:Culture judéo-espagnole;
São Paulo	Wàll:Dëkk;Wàll:Breesil;
Duusub sin	Wàll:nattpuxtal;Wàll:duus;
Njeexitu joule	Wàll:mbëj;Wàll:kàttan;
Osasco	Wàll:Breesil;
Jéeri ji	Wàll:Suuf;
Concepción (Ciili)	Wàll:Ciili;
Pichilemu	Wàll:Ciili;
Angolemi	Wàll:Ciipër;
Monzón	Wàll:Ispaañ;
Caracas	Wàll:Benesuwela;Wàll:Péy;
Mérida, Benesuwela	Wàll:Dëkki Benesuwela;
Santiago Tequixquiac	Wàll:Dëkki Meksik;
Truong Tan Sang	Wàll:Wiyetnaam;
Paltoga	Wàll:Riisi;
Tequixquiac	Wàll:Meksik;
Moshchena	Wàll:Ukreen;
Pachuca de Soto	Wàll:Meksik;
Lebu	Wàll:Waasoy Senegaal;
Rafael Correa	Wàll:Ekwadoor;
Pitax	Wàll:Picc;
Nha Trang	Wàll:Wiyetnaam;
Bien Hoa	Wàll:Wiyetnaam;
Mustafa Kemal Atatürk	Wàll:Tirki|Atatuerk;Wàll:Nit|Atatuerk;
Ba Ria	Wàll:Wiyetnaam;
Thanh Hoa	Wàll:Wiyetnaam;
Phan Thiet	Wàll:Wiyetnaam;
Ben Tre	Wàll:Wiyetnaam;
Oblaznytsia	Wàll:Ukreen;
Krushynka	Wàll:Ukreen;
Niccolò Cusano University	Wàll:Itaali;
Vesoul	Wàll:Faraas;
Queen	Wàll:Woy;
Corbin Bleu	Wàll:Dun;
Coreca	Wàll:Itaali;
Ba Don	Wàll:Wiyetnaam;
Siligo	Wàll:Itaali;
The Doors	Wàll:Woy;
Radio Studio 54 Network	Wàll:Station Rajo Itaali;Wàll:Rajo;
Locri	Wàll:Itaali;
Trojany	Wàll:Poloñ;
Anna Rita Del Piano	Wàll:Njàngat;Wàll:Woy;Wàll:Itaali;
Benedicta Boccoli	Wàll:Njàngat;Wàll:Woy;Wàll:Itaali;
Bochotnica	Wàll:Poloñ;
Budka Suflera	Wàll:Woy;
Royuwaay:Jumtukaayu layout	Wàll:Royuwaay;
Jàngoroy Ebola	Wàll:Ebola;
Niseeria	Wàll:Réew;Wàll:Afrig;Wàll:Sowwu Afrig;
Julius Caesar	Wàll:Taariix;
Duran Duran	Wàll:Woy;
Ronald Reagan	Wàll:Diiwaan yu Bennoo;
RMF FM	Wàll:Station Rajo Poloñ;Wàll:Rajo;
Mindelo	Wàll:Dëkk;Wàll:Kap Weer;
Royuwaay:El	Wàll:Royuwaay;
Royuwaay:Pt	Wàll:Royuwaay;
Royuwaay:Commonscat	Commons:{{#if:{{{1|}}}|{{{1}}}|{{PAGENAME}}}}|{{#if:{{{2|}}}|{{{2}}}|{{PAGENAME}}}};Royuwaay|Commons;
Korent	Wàll:Dëkk;Wàll:Girees;
Arara	Wàll:Breesil;
Łobez	Wàll: Poloñ;
Santiag	Wàll:Ciili;
Espargos	Wàll:Dëkk;Wàll:Kap Weer;
Module:Infobox	Articles which use infobox templates with no data rows;Pages which use embedded infobox templates with the title parameter;
Module:InfoboxImage	Pages using infoboxes with thumbnail images;
Module:Wikidata	Called function 'Dump' from module Wikidata;
Module:Message box	%s|%s;%s;
Module:Citation/CS1	--------------------------< L A N G U A G E _ P A R A M E T E R >------------------------------------------

Get language name from ISO639-1 code value provided.  If a code is valid use the returned name; if not, then use the value that was provided with the language parameter.

There is an exception.  There are three ISO639-1 codes for Norewegian language variants.  There are two official variants: Norwegian Bokmål (code 'nb') and
Norwegian Nynorsk (code 'nn').  The third, code 'no',  is defined by ISO639-1 as 'Norwegian' though in Norway this is pretty much meaningless.  However, it appears
that on enwiki, editors are for the most part unaware of the nb and nn variants (compare page counts for these variants at Articles with non-English-language external links.

Because Norwegian Bokmål is the most common language variant, Media wiki has been modified to return Norwegian Bokmål for ISO639-1 code 'no'. Here we undo that and
return 'Norwegian' when editors use |language=no.  We presume that editors don't know about the variants or can't descriminate between them.

See Help talk:Citation Style_1#An ISO 639-1 language name test

When |language= contains a valid ISO639-1 code, the page is assigned to the category for that code: Norwegian-language sources (no) if
the page is a mainspace page and the ISO639-1 code is not 'en'.  Similarly, if the  parameter is |language=Norwegian, it will be categorized in the same way.

This function supports multiple languages in the form |language=nb, French, th where the language names or codes are separated from each other by commas.

;--------------------------< E X T R A _ T E X T _ I N _ P A G E _ C H E C K >------------------------------

Adds page to CS1 maint: extra text if |page= or |pages= has what appears to be some form of p. or pp. 
abbreviation in the first characters of the parameter content.

check Page and Pages for extraneous p, p., pp, and pp. at start of parameter value:
	good pattern: '^P[^%.P%l]' matches when |page(s)= begins PX or P# but not Px where x and X are letters and # is a dgiit
	bad pattern: '^[Pp][Pp]' matches matches when |page(s)= begins pp or pP or Pp or PP

;:' .. v ..'|link;' .. v ..';' .. v ..';' .. v ..';
Module:Citation/CS1/Configuration	Pages containing links to subscription-only content;Pages with login required references or sources;
Royuwaay:Infobox football club	football team templates which use images;football team templates which use short name parameter;
Maad a Sinig Ama Juuf Njeelane Faye Juuf	Wàll:Cosaan;Wàll:Niti senegaal;Wàll:Niti Gàmbi;Wàll:Taariixu senegaal;Wàll:Cosaan Séeréer;Wàll: Séeréer;Wàll:Taariixu Gàmbi;
Angela Cavagna	Wàll:Njàngat;Wàll:Woy;Wàll:Itaali;
Santiago (Kap Weer)	Wàll:Nekk;Wàll:Kap Weer;
São Vicente (Kap Weer)	Wàll:Nekk;Wàll:Kap Weer;
Sudaan gu Bëj-saalum	Wàll:Réew;Wàll:Afrig;
Fanny Cadeo	Wàll:Njàngat;Wàll:Woy;Wàll:Itaali;
Barbara Chiappini	Wàll:Njàngat;Wàll:Woy;Wàll:Itaali;
Fogo (Kap Weert)	Wàll:Nekk;Wàll:Kap Weer;
Royuwaay:Wikbaatukaay	Royuwaay|Wikbaatukaay;
Royuwaay:Div col	Pages using div col with small parameter;Royuwaay;
Royuwaay:Div col end	Wàll:Royuwaay;
Momoko Kōchi	Wàll:Sapoŋ;Wàll:Sinemaa;
Santo Antão (Kap Weert)	Wàll:Nekk;Wàll:Kap Weer;
Jerusalem	Wàll:Israayil;Wàll:Péy;
Tokyo	Wàll:Sapoŋ;Wàll:Péy;
Rio de Janeiro	Wàll:Dëkk;Wàll:Breesil;
Kyoto	Wàll:Dëkk;Wàll:Sapoŋ;
Nagoya	Wàll:Dëkk;Wàll:Sapoŋ;
Osaka	Wàll:Dëkk;Wàll:Sapoŋ;
Sapporo	Wàll:Dëkk;Wàll:Sapoŋ;
Yokohama	Wàll:Dëkk;Wàll:Sapoŋ;
Sal (Kap Weert)	Wàll:Nekk;Wàll:Kap Weer;
Assomada	Wàll:Dëkk;Wàll:Kap Weer;
Wu-ispaañ	Wàll:Junj;Wàll:Làkk;Wàll:Ispaañ;
Silin	Wàll:Ciili;
São Nicolau (Kap Weer)	Wàll:Nekk;Wàll:Kap Weer;
Porto Novo (Kap Weert)	Wàll:Dëkk;Wàll:Kap Weer;
